APINumber,gel,slick,xlinkgel,VerticalDepth,nphf_sqrt,sqrtsandmass,First6BOE,SandMassPerFoot,hybrid,hzlen_bin_<1,hzlen_bin_1-2,hzlen_bin_>2
35119239980000,0,1,0,5812.0,78.21764506810467,1633.5311444842428,25403.0,562.0,0,1,0,0
35063246190000,0,1,0,3913.0,78.10249675906654,2105.5412605788565,15703.0,934.0,0,1,0,0
35073252640000,0,1,0,7303.0,82.21313763626833,2179.678875430966,34863.0,1149.0,0,1,0,0
35151241250000,0,1,0,5424.0,77.7174369109018,687.8720811313685,13276.0,102.0,0,1,0,0
35047249750000,1,1,0,6720.0,80.2122185206219,908.2951062292475,50180.0,213.0,1,1,0,0
35073252430000,1,0,0,7593.0,78.8986691902975,3527.275152295324,78361.0,2529.0,0,1,0,0
35151238490000,0,1,0,5553.0,78.12809993849844,963.825710385441,30191.0,210.0,0,1,0,0
35003228390000,0,1,0,5693.0,78.12809993849844,619.4562131418169,18275.0,93.0,0,1,0,0
35119241360000,0,1,0,5638.0,79.5361553005927,1207.5748424010828,10848.0,331.0,0,1,0,0
35047248560000,0,1,0,6603.0,76.72678802087313,1103.2769371286613,20770.0,271.0,0,1,0,0
35053228990000,0,1,0,5272.0,80.06247560499239,1181.625998359887,13416.0,370.0,0,1,0,0
35103246840000,1,1,0,5150.0,81.17265549432271,1587.8101271877567,20439.0,605.0,1,1,0,0
35119243740000,0,1,0,5366.0,78.46018098373213,1880.430004015039,14264.0,902.0,0,1,0,0
35151237650000,0,0,0,5216.0,77.43384273042376,908.5031645514505,9299.0,186.0,0,1,0,0
35151235070000,0,1,0,5594.0,78.22403722641782,1094.6981319066915,36011.0,283.0,0,1,0,0
35121245300000,0,1,0,7172.0,82.10359310042405,716.1319710779571,76459.0,105.0,0,1,0,0
35003230650000,1,1,0,5805.0,77.1686464828819,908.2951062292475,37218.0,199.0,1,1,0,0
35103243920000,0,1,0,4895.0,83.92258337301111,1293.5296672283941,7606.0,490.0,0,1,0,0
35053232750000,1,1,0,5182.0,77.4919350642375,866.3423110987942,9304.0,174.0,1,1,0,0
35073253930000,0,1,0,7136.0,78.05126520435142,414.36698710201324,19865.0,38.0,0,1,0,0
35063246160000,0,1,0,5021.0,76.87652437513027,3098.672296323056,57717.0,1484.0,0,1,0,0
35073249700000,0,1,0,7926.0,93.86160024205851,1326.8281727488304,61171.0,418.0,0,0,1,0
35119241810000,1,1,0,4829.0,77.62087348130012,1474.1845203365826,16484.0,538.0,1,1,0,0
35003228800000,1,1,0,6037.0,77.51773990513398,908.2951062292475,154172.0,187.0,1,1,0,0
35081242220000,0,1,0,4795.0,78.40280607223188,1312.252262333733,23698.0,403.0,0,1,0,0
35151239900000,1,1,0,5976.0,77.28518616138541,908.2951062292475,14710.0,209.0,1,1,0,0
35003223460000,0,1,0,6715.0,74.41773982055622,1076.7241986692786,38919.0,316.0,0,1,0,0
35119240060000,0,1,0,5595.0,79.41032678436729,1810.854770543458,5737.0,831.0,0,1,0,0
35003223330000,0,0,0,5369.0,77.6273147803014,908.2951062292475,21734.0,205.0,0,1,0,0
