API14,WellName,WellNumber,OperatorAlias,Field,TargetFormation,TotalDepth,VerticalDepth,DrillType,UpperPerforation,LowerPerforation,GrossPerforatedInterval,HorizontalLength,TreatmentJobCount,CumBOE,CumGas,CumOil,First6BOE,FirstProdDate,Township,Range,TR,County
5123402820000,RUHL,1D-32H-B264,CRESTONE PEAK RESOURCES OPERATING LLC,WATTENBERG,NIOBRARA,11619.0,7055.0,H,7396.0,11564.0,4168.0,4573.72,1.0,60470.0,118525.0,40716.0,24118.0,2015-06-01,02N,64W,02N64W,Weld
5123402830000,RUHL,1F-32H-B264,CRESTONE PEAK RESOURCES OPERATING LLC,WATTENBERG,CODELL,11835.0,7172.0,H,7497.0,11746.0,4249.0,4637.44,1.0,48651.0,96001.0,32651.0,17996.0,2015-06-01,02N,64W,02N64W,Weld
5123402840000,RUHL,1B-32H-B264,CRESTONE PEAK RESOURCES OPERATING LLC,WATTENBERG,NIOBRARA,11443.0,6952.0,H,7411.0,11334.0,3923.0,4553.3,1.0,93852.0,211437.0,58613.0,35733.0,2015-06-01,02N,64W,02N64W,Weld
5123402850000,RUHL,1H-32H-B264,CRESTONE PEAK RESOURCES OPERATING LLC,WATTENBERG,NIOBRARA,11445.0,6964.0,H,7450.0,11306.0,3856.0,4598.14,1.0,74462.0,150333.0,49407.0,32256.0,2015-06-01,02N,64W,02N64W,Weld
5123402860000,RUHL,1G-32H-B264,CRESTONE PEAK RESOURCES OPERATING LLC,WATTENBERG,NIOBRARA,11500.0,7050.0,H,7456.0,11425.0,3969.0,4573.74,1.0,67607.0,132449.0,45532.0,29693.0,2015-06-01,02N,64W,02N64W,Weld
5123402880000,NEWNAM,2L-32H C264,CRESTONE PEAK RESOURCES OPERATING LLC,WATTENBERG,CODELL,11680.0,7138.0,H,7645.0,11611.0,3966.0,4629.05,5.0,39650.0,69392.0,28085.0,13480.0,2015-05-01,02N,64W,02N64W,Weld
5123402950000,KENNEDY,8,EXTRACTION O&G,WATTENBERG,CODELL,10914.0,5738.0,H,,,,5213.78,1.0,92206.0,147565.0,67612.0,65262.0,2017-06-01,04N,68W,04N68W,Weld
5123403050000,KENNEDY,16,EXTRACTION O&G,WATTENBERG,CODELL,11646.0,6062.0,H,,,,5387.92,1.0,76046.0,98221.0,59676.0,53173.0,2017-06-01,04N,68W,04N68W,Weld
5123403070000,KENNEDY,2,EXTRACTION O&G,WATTENBERG,NIOBRARA,10820.0,5742.0,H,,,,5230.29,1.0,90979.0,138133.0,67957.0,65689.0,2017-06-01,04N,68W,04N68W,Weld
5123403130000,THOMSEN,3N-18HZ,ANADARKO,WATTENBERG,NIOBRARA,14148.0,7074.0,H,7739.0,14066.0,6327.0,5350.7,1.0,339540.0,1210626.0,137769.0,71008.0,2015-04-01,02N,65W,02N65W,Weld
5123403150000,THOMSEN,1C-18HZ,ANADARKO,WATTENBERG,CODELL,14563.0,7302.0,H,7805.0,14481.0,6676.0,5496.47,2.0,246146.0,673312.0,133927.0,49978.0,2015-04-01,02N,65W,02N65W,Weld
5123403170000,DIAMOND VALLEY EAST,13,EXTRACTION O&G,WATTENBERG,CODELL,16312.0,7187.0,H,,,,10215.02,2.0,397915.0,746377.0,273519.0,133252.0,2015-07-01,06N,67W,06N67W,Weld
5123403180000,DIAMOND VALLEY EAST,12,EXTRACTION O&G,WATTENBERG,NIOBRARA,16872.0,6966.0,H,7531.0,16780.0,9249.0,10192.56,2.0,82799.0,172985.0,53968.0,39601.0,2015-08-01,06N,67W,06N67W,Weld
5123403280000,GP-DAIRY,1-20-19,EXTRACTION O&G,WATTENBERG,NIOBRARA,15277.0,7167.0,H,,,,9174.14,1.0,536030.0,2071134.0,190841.0,144843.0,2015-03-01,05N,65W,05N65W,Weld
5123403310000,JOHNSON,"=""01N-65W-30-8N""",VERDAD RESOURCES LLC,WATTENBERG,NIOBRARA,11877.0,7254.0,H,7493.0,11782.0,4289.0,4656.27,1.0,28437.0,24482.0,24357.0,6016.0,2016-10-01,01N,65W,01N65W,Weld
5123403380000,WIEDEMAN TRUST FEDERAL,29O-432,PDC ENERGY,WATTENBERG,CODELL,15036.0,7248.0,H,,,,7517.91,1.0,101550.0,488038.0,20210.0,41559.0,2016-07-01,04N,66W,04N66W,Weld
5123403390000,WIEDEMAN TRUST FEDERAL,29P-212,PDC ENERGY,WATTENBERG,NIOBRARA,14947.0,7031.0,H,7577.0,14858.0,7281.0,7612.62,1.0,180556.0,837063.0,41046.0,69336.0,2016-07-01,04N,66W,04N66W,Weld
5123403400000,WIEDEMAN TRUST FEDERAL,29O-332,PDC ENERGY,WATTENBERG,NIOBRARA,15036.0,7108.0,H,,,,7601.63,1.0,198310.0,905255.0,47434.0,68015.0,2016-07-01,04N,66W,04N66W,Weld
5123403420000,WAAG,1,EXTRACTION O&G,WATTENBERG,CODELL,12255.0,7335.0,H,,,,4012.26,1.0,42744.0,58496.0,32995.0,17431.0,2016-01-01,07N,65W,07N65W,Weld
5123403430000,WAAG,2,EXTRACTION O&G,WATTENBERG,NIOBRARA,12057.0,7138.0,H,,,,4037.88,1.0,29585.0,51043.0,21078.0,12039.0,2016-01-01,07N,65W,07N65W,Weld
5123403450000,WAAG,4,EXTRACTION O&G,WATTENBERG,CODELL,12269.0,7335.0,H,,,,4119.73,1.0,40817.0,63950.0,30159.0,15342.0,2016-01-01,07N,65W,07N65W,Weld
5123403460000,WAAG,20,EXTRACTION O&G,WATTENBERG,NIOBRARA,11981.0,7138.0,H,,,,4709.31,1.0,56905.0,121424.0,36668.0,31644.0,2016-01-01,07N,65W,07N65W,Weld
5123403470000,WAAG,25,EXTRACTION O&G,WATTENBERG,CODELL,12114.0,7335.0,H,,,,4528.12,1.0,41774.0,48102.0,33757.0,14554.0,2016-01-01,07N,65W,07N65W,Weld
5123403480000,WAAG,22,EXTRACTION O&G,WATTENBERG,CODELL,12124.0,7335.0,H,,,,4605.95,1.0,47651.0,92093.0,32302.0,21361.0,2016-01-01,07N,65W,07N65W,Weld
5123403490000,WAAG,23,EXTRACTION O&G,WATTENBERG,NIOBRARA,11919.0,7138.0,H,,,,4573.16,1.0,35328.0,63874.0,24682.0,14560.0,2016-01-01,07N,65W,07N65W,Weld
5123403500000,WAAG,21,EXTRACTION O&G,WATTENBERG,NIOBRARA,11938.0,7138.0,H,,,,4640.01,1.0,60053.0,100724.0,43266.0,32922.0,2016-01-01,07N,65W,07N65W,Weld
5123403510000,WAAG,19,EXTRACTION O&G,WATTENBERG,CODELL,12200.0,7335.0,H,,,,4757.18,1.0,54622.0,92299.0,39239.0,25153.0,2016-01-01,07N,65W,07N65W,Weld
5123403520000,WAAG,24,EXTRACTION O&G,WATTENBERG,NIOBRARA,11912.0,7138.0,H,,,,4543.72,1.0,83229.0,208285.0,48515.0,38146.0,2016-01-01,07N,65W,07N65W,Weld
5123403530000,WAAG,9,EXTRACTION O&G,WATTENBERG,NIOBRARA,11974.0,7138.0,H,,,,4754.03,1.0,45597.0,99069.0,29086.0,20129.0,2016-01-01,07N,65W,07N65W,Weld
5123403540000,WAAG,18,EXTRACTION O&G,WATTENBERG,NIOBRARA,12048.0,7138.0,H,,,,4829.14,1.0,36690.0,77076.0,23844.0,13061.0,2016-01-01,07N,65W,07N65W,Weld
5123403550000,WAAG,13,EXTRACTION O&G,WATTENBERG,CODELL,12133.0,7335.0,H,,,,4704.75,1.0,50553.0,90572.0,35458.0,18639.0,2016-01-01,07N,65W,07N65W,Weld
5123403560000,WAAG,6,EXTRACTION O&G,WATTENBERG,NIOBRARA,12079.0,7138.0,H,,,,4867.78,1.0,47859.0,90603.0,32759.0,17879.0,2016-01-01,07N,65W,07N65W,Weld
5123403570000,WAAG,8,EXTRACTION O&G,WATTENBERG,NIOBRARA,12022.0,7138.0,H,,,,4807.31,1.0,45734.0,95358.0,29841.0,15515.0,2016-01-01,07N,65W,07N65W,Weld
5123403580000,WAAG,15,EXTRACTION O&G,WATTENBERG,NIOBRARA,11959.0,7138.0,H,,,,4729.05,1.0,33936.0,51864.0,25292.0,12294.0,2016-01-01,07N,65W,07N65W,Weld
5123403590000,WAAG,14,EXTRACTION O&G,WATTENBERG,NIOBRARA,11939.0,7138.0,H,,,,4710.1,1.0,40117.0,69411.0,28549.0,14768.0,2016-01-01,07N,65W,07N65W,Weld
