APINumber,gel,slick,xlinkgel,hybrid,VerticalDepth,HorizontalLength,GrossPerforatedInterval,nphf_sqrt,sandmass,sqrtsandmass,sandperft,location,First6BOE,hzlen_bin_<1,hzlen_bin_1-2,hzlen_bin_>2
5123393920000,0,1,1,1.0,6171.0,4547.87,4028.0,80.74571196045027,3418851.536639597,1849.013665887734,316.76563852863865,1,29209.0,1,0,0
5123393940000,0,1,0,0.0,7291.0,7279.37,6731.0,80.92199948098168,3915794.34402846,1978.8366137780197,269.73853716528623,2,47539.0,0,1,0
5123393950000,0,1,0,0.0,7316.0,5274.09,5410.0,76.5773465197117,2868518.638670648,1693.6701682059138,215.80790239773157,2,46590.0,1,0,0
5123393960000,0,1,0,0.0,7287.0,7327.71,6749.0,81.10924731496404,3660830.7348117917,1913.3297506733625,251.70728374668533,1,57138.0,0,1,0
5123393970000,0,1,0,0.0,7299.0,5272.42,5481.0,76.10137975096116,2900411.1817778223,1703.0593594404813,217.1616638048684,2,40192.0,1,0,0
5123393980000,0,1,0,0.0,7155.0,7294.0,6699.0,81.20960534321048,5968827.7461929275,2443.1184470248118,417.22548204899533,1,59864.0,0,1,0
5123393990000,0,1,0,0.0,7119.0,5258.78,5441.0,76.27437315376639,4655046.740996627,2157.555732998948,355.8904236235953,1,47742.0,1,0,0
5123394000000,0,1,1,1.0,7397.0,5449.76,5376.0,77.93433133093528,4240781.432808199,2059.3157681152734,320.39750927834683,1,51673.0,1,0,0
5123394010000,0,1,0,0.0,7627.0,5488.52,5554.0,77.03583581684566,2670150.61194272,1634.059549692948,196.6961776753385,2,59615.0,1,0,0
5123394020000,0,1,0,0.0,7494.0,5554.06,5326.0,78.91805876984051,4101711.062959409,2025.2681459400403,306.3950894867714,1,55920.0,1,0,0
5123394110000,1,1,0,1.0,7255.0,4385.47,4253.0,78.31008874979008,5198903.123015054,2280.1103313250114,442.3845407603007,1,32242.0,1,0,0
5123394120000,1,1,0,1.0,7432.0,4389.96,4080.0,79.43525665597109,2260023.6587706665,1503.337506606772,189.028409064124,2,27140.0,1,0,0
5123394130000,0,1,1,1.0,7333.0,4463.96,4290.0,78.5745505873244,1826880.8351059,1351.6215576506243,149.8425881812582,2,55178.0,1,0,0
5123394160000,0,1,1,1.0,6407.0,9682.1,8999.0,81.75022935747643,10162412.288044937,3187.8538686779443,633.6853705833346,3,37022.0,0,0,1
5123394200000,0,1,1,1.0,6144.0,10025.89,9418.0,81.28892913552251,6386077.170514606,2527.068889150948,393.7162250625528,1,36346.0,0,0,1
5123394230000,0,1,0,0.0,7857.0,5473.31,4692.0,82.34870976524162,2254078.5575945308,1501.3589036584592,176.0861305831209,2,64137.0,1,0,0
5123394240000,0,1,0,0.0,7868.0,5673.05,4421.0,85.15896899328925,4324693.346417307,2079.5897062683557,335.4816031663414,2,81251.0,1,0,0
5123394260000,0,1,0,0.0,7724.0,5536.3,4482.0,83.98988034281273,1306457.49072816,1143.0037142232566,103.03292513629022,5,42770.0,1,0,0
5123394270000,0,1,0,0.0,7778.0,9673.68,9126.0,80.91773600391944,4893479.013376165,2212.120931001776,283.48273742186103,2,89815.0,0,0,1
5123394280000,0,1,1,1.0,7440.0,5010.83,4735.0,79.2201363290925,3225265.4187175888,1795.9023967681508,255.0423389781424,1,59981.0,1,0,0
5123394290000,0,1,0,0.0,7383.0,4975.41,4698.0,79.23010791359557,3339887.186694678,1827.5358236419547,266.42367475228764,1,59423.0,1,0,0
5123394300000,0,1,1,1.0,7579.0,4971.65,4684.0,79.29470348011903,2117662.098509416,1455.2189177266134,166.35208943514658,2,65882.0,1,0,0
5123394330000,0,1,0,0.0,7614.99,4981.65,4701.0,79.25055204855042,2258785.5250454987,1502.9256551957249,176.5099539534481,2,60587.0,1,0,0
5123394390000,0,1,0,0.0,7829.0,7615.94,7057.0,80.9872829523253,3558406.3091140264,1886.3738518952246,231.78780022889697,2,99705.0,0,1,0
5123394400000,0,1,1,1.0,6116.0,4315.6,4128.0,78.6612992519193,2508124.0402193167,1583.7057934538589,239.09666732309978,0,24712.0,1,0,0
5123394410000,0,1,1,1.0,6220.0,4317.85,4190.0,78.28058507701638,2703377.03903854,1644.1949516521877,254.65119056504707,0,21314.0,1,0,0
5123394420000,0,1,1,1.0,6228.0,4281.65,4192.0,78.03620954403154,2692466.590878313,1640.8737278895999,254.9684271665069,0,32997.0,1,0,0
5123394430000,0,1,1,1.0,6141.0,4292.4,4081.0,78.81243556698396,2498211.4462140733,1580.573138520984,238.92611383072622,0,30405.0,1,0,0
5123394440000,0,1,1,1.0,6269.0,4331.96,4169.0,78.50452216273914,2709878.920684866,1646.1709876816765,255.86619966810179,0,26958.0,1,0,0
5123394450000,0,1,1,1.0,6012.0,9800.48,9326.0,80.46415350949763,7486262.633966488,2736.1035495694396,470.53819195263907,1,40354.0,0,0,1
5123394460000,0,1,1,1.0,6011.0,9803.17,9246.0,80.97635457341853,9814847.962582722,3132.8657747472557,618.2581393752896,1,38346.0,0,0,1
5123394580000,0,1,1,1.0,7255.0,4640.9,5512.0,71.61633891787544,1777280.9072003204,1333.1469938458852,132.09074003718473,9,49642.0,1,0,0
5123394610000,0,1,1,1.0,7319.0,4655.31,5518.0,71.67503051970051,3920983.230555916,1980.1472749661618,291.34962331371054,9,56287.0,1,0,0
5123394620000,0,1,1,1.0,6158.0,4648.88,5240.519143612572,73.54155870246039,3420322.9814728317,1849.4115230182902,317.07824061118305,0,32959.0,1,0,0
5123394630000,0,1,1,1.0,7105.0,5937.02,4783.0,84.58144004449203,4382479.439002999,2093.437230729166,351.8933225472137,1,85641.0,1,0,0
5123394640000,0,1,1,1.0,7033.0,5891.75,3092.0,93.80698268252742,3044233.405584616,1744.7731673729443,254.76888489284593,1,60210.0,1,0,0
5123394650000,0,1,1,1.0,7130.0,5897.6,4319.0,87.05515493065302,4326594.764190255,2080.046817788065,357.30405187796305,1,77288.0,1,0,0
5123394660000,0,1,1,1.0,7110.0,4654.32,5245.819115602333,73.5425107294935,3713948.6231341455,1927.1607673295307,319.0951648023151,1,32766.0,1,0,0
5123394750000,0,1,1,1.0,7052.0,5757.96,3868.0,88.82544680439271,3530185.289708556,1878.8787320390202,297.10362646932805,1,71784.0,1,0,0
