APINumber,gel,slick,xlinkgel,hybrid,VerticalDepth,nphf_sqrt,sqrtsandmass,First6BOE,sandperft,hzlen_bin_<1,hzlen_bin_1-2,hzlen_bin_>2
33025021050000,0,1,1,1.0,10207.26,109.73592484620714,1470.0060370297585,74814.83,276.40641974237786,0,1,0
33025021060000,0,1,1,1.0,10295.15,109.50334790248388,1428.106836227206,61538.5,262.5869407111554,0,1,0
33025021070000,0,1,1,1.0,10838.52,118.5786793730324,1555.6133990470719,74181.83,246.00740759927587,0,0,1
33025021080000,0,1,1,1.0,10898.44,118.35967726321503,1578.6596370309353,37350.17,254.69407575219103,0,0,1
33025021100000,0,1,1,1.0,10896.85,117.81185509893484,1249.3500839118758,47010.33,161.6556297273914,0,0,1
33025021110000,0,1,1,1.0,10898.06,117.64188540588944,1251.2940468408683,64194.83,162.83399493521912,0,0,1
33025021120000,0,1,1,1.0,10995.31,118.58631119084707,1932.443539098159,48798.17,379.5583568259656,0,0,1
33025021130000,0,1,1,1.0,10952.03,118.90594266836464,1868.7832049909505,62059.5,352.24500025278496,0,0,1
33025021140000,0,1,1,1.0,10979.03,118.54414031006519,1826.5779060402187,67095.83,339.45559577258604,0,0,1
33025021160000,0,1,1,1.0,10854.22,119.31032311519579,1508.1413328728893,18282.67,227.20183239831215,0,0,1
33025021170000,0,1,1,1.0,10800.79,118.89664924568909,1420.3960036679298,55119.83,203.53668328929652,0,0,1
33025021190000,0,1,0,0.0,10808.92,122.31718277434459,1455.778176332448,52584.67,197.37423875435886,0,0,1
33025021200000,0,1,0,0.0,10903.8,122.29678328497614,1375.3937911519013,18470.17,176.26092886132963,0,0,1
33025021210000,0,1,0,0.0,10829.88,122.48250161493445,1436.2589833888037,36206.33,191.39552058566565,0,0,1
33025021230000,0,1,1,1.0,11079.86,119.02219625705291,1221.7248772134076,37304.17,150.1287616739252,0,0,1
33025021240000,0,1,1,1.0,9819.19,117.97573141054232,1693.9244699468925,71672.5,295.9893657944813,0,0,1
33025021250000,0,1,1,1.0,9764.73,118.06529211352684,1708.7517233807177,42547.67,300.53837046944034,0,0,1
33025021260000,0,1,1,1.0,9836.75,119.6715221005082,1703.7634152709722,29575.83,287.4866076947874,0,0,1
33025021270000,0,1,1,1.0,9752.43,122.51074729121694,1786.7902312481358,58325.17,296.02926064379125,0,0,1
33025021280000,1,1,0,1.0,9878.89,126.27716817323875,885.9449514711173,67120.33,66.96028843886931,0,0,1
33025021290000,0,1,1,1.0,9774.3,130.46510338727526,885.9449514711173,119511.33,61.33423174501353,0,0,1
33025021300000,1,1,0,1.0,9903.91,125.05536054824847,885.9449514711173,53505.5,68.76165328229655,0,0,1
33025021310000,0,1,1,1.0,9812.76,122.02099492240022,885.9449514711173,73622.5,73.59538464771946,0,0,1
33025021320000,0,1,1,1.0,9910.56,115.70727376380631,885.9449514711173,74900.5,85.6492680172805,0,0,1
33025021330000,0,1,1,1.0,9860.0,112.18428232980064,885.9449514711173,79232.17,93.87345143030942,0,1,0
33025021340000,0,1,1,1.0,9957.24,109.71633060694484,1304.0797032060407,20441.17,217.6492106473271,0,1,0
33025021350000,0,1,1,1.0,9890.65,108.75129057557166,1397.2946240771562,49335.83,256.80538362661514,0,1,0
33025021360000,0,1,1,1.0,10353.89,118.8160898273143,1535.0183941854586,39165.17,238.1720628520936,0,0,1
33025021370000,0,1,1,1.0,10292.25,119.24966751254455,179.51166046134662,36058.83,3.2236008968809604,0,0,1
33025021380000,0,1,1,1.0,10375.42,119.69679695736399,1564.0458732009683,42514.83,242.12401885304035,0,0,1
33025021390000,0,1,1,1.0,10803.23,119.67473919692668,1826.9620249005086,40764.5,330.5407166419158,0,0,1
33025021400000,0,1,1,1.0,10854.73,119.65664712773972,2582.0360107174965,55923.5,660.5060177143155,0,0,1
33025021410000,0,1,1,1.0,10649.68,119.18092633409266,1337.7394031328283,26133.83,179.3129383201813,0,0,1
33025021420000,0,1,1,1.0,10601.87,123.42740053105072,1467.4165241425735,89427.0,195.57332988139888,0,0,1
